VPD_kPa,GPP,Gs_mol,SWC
0.1033,0.0299344,0.008944377,34.657
0.5464,2.66863,0.015469207,43.068
0.3692,9.58631,0.046083076,41.545
0.5087,12.3925,0.043276938,33.163
0.4175,11.4869,0.045646224,29.745
0.2498,5.75974,0.049788358,31.683
0.2678,0.366744,0.013393004,37.368
0.0693,0.0120473,0.02248749,39.37
0.0564,0.0282356,0.030431456,37.125
0.6546,1.28799,0.011713288,44.639
0.5444,10.0857,0.032356604,41.003
0.5282,12.2709,0.036895157,37.078
0.4507,11.1094,0.03732282,33.754
0.4578,4.90079,0.012336441,40.26
0.3361,0.39366,0.004691624,40.821
2.2664,1.14453,0.001903895,0.257
2.105,0.351495,0.003069856,3.463
1.7395,1.33262,0.004996135,5.077
1.7586,0.481025,0.002764132,3.276
1.3176,0.850634,0.002714426,0.953
0.7282,0.0264362,0.002819542,3.217
0.6721,0.0149144,0.002828905,4.784
0.9179,0.47414,0.002676648,1.486
1.5516,0.676196,0.002188382,0.497
2.095,0.0985552,0.001317786,1.25
1.3963,0.80206,0.005630211,6.595
1.9651,0.451433,0.001793103,2.307
1.3995,0.0342471,0.000555138,0.305
1.3699,0.0286769,0.000334104,0.018
1.063,0.0358177,0.001228252,0.779
1.7315,0.0173517,0.000234417,0.055
1.1237,1.68179,0.010168529,10.954
1.2347,3.04321,0.008039073,6.339
1.2749,0.821656,0.003481041,3.157
1.3434,0.265403,0.00094238,0.17
0.7595,0.0454556,0.000904132,0.716
0.8852,0.169111,0.002314788,1.677
1.3086,0.420073,0.00226065,2.482
1.4646,1.00978,0.002840783,1.174
2.1393,0.505317,0.001166674,0.343
2.8551,0.336513,0.001313294,1.555
1.7874,0.896685,0.004324799,6.707
1.5041,4.12649,0.007760021,9.686
1.6248,0.986222,0.003385669,6.692
1.6282,0.153624,0.00107069,4.029
1.2831,0.0186314,0.001040974,5.058
0.6431,0.0927627,0.003534199,9.784
0.6432,0.0422939,0.001817601,6.751
0.9404,0.152022,0.002360973,9.315
1.2807,0.379853,0.001197607,6.098
1.7455,0.094209,0.000567591,3.536
1.3827,2.41912,0.008479808,14.018
1.2856,2.90269,0.007965664,11.357
1.6004,2.31773,0.005419101,8.451
1.7034,0.341829,0.001319375,4.871
1.1102,0.0871327,0.000933669,4.331
0.7771,0.0450672,0.002578249,8.879
1.1159,0.110415,0.002117013,10.714
1.3053,0.455711,0.001832051,9.542
1.5238,0.249998,0.000892117,4.483
2.1901,0.161839,0.001006479,5.746
2.1158,0.170117,0.001451639,6.639
2.1178,0.240581,0.001934777,8.95
2.1396,1.99671,0.004956873,13.901
1.7899,1.42975,0.003364778,7.493
1.319,0.303066,0.00202452,7.052
1.2428,0.0117799,0.000595805,4.065
0.5984,0.0645317,0.002851087,9.792
0.6732,0.0393042,0.003657516,12.851
0.5676,0.0674964,0.006967779,16.545
0.9632,0.300662,0.004910999,15.857
1.3025,1.6716,0.004502506,10.999
2.0683,1.72648,0.002480761,5.843
2.7856,0.319676,0.000873024,4.178
1.6396,0.615092,0.004674053,10.613
1.5703,3.74583,0.008886323,13.19
1.8903,1.94953,0.004426093,12.078
1.4015,0.621496,0.002372683,8.431
1.0725,0.0631761,0.000697854,4.218
0.8757,0.0475525,0.001379103,5.942
1.4235,0.0136224,0.000849496,6.013
1.7076,0.0352128,0.000399204,3.837
2.0295,0.0140925,0.000245839,3.403
1.8334,0.207203,0.004309034,13.372
1.8,3.01771,0.008742654,14.336
1.895,1.96252,0.005186093,11.938
1.725,0.482866,0.001324968,5.796
0.8541,0.113601,0.003047472,8.231
0.5876,0.0672987,0.003318809,12.72
0.9664,0.0155735,0.001431216,11.717
0.8731,0.156114,0.001652027,9.566
1.2279,0.125786,0.001792302,8.038
1.843,0.221128,0.000946522,5.421
2.411,0.306198,0.001278541,7.374
3.0014,0.0403132,0.000620046,4.495
1.473,1.8984,0.007694821,13.999
1.8771,2.99433,0.006560403,12.578
1.6085,2.44354,0.00611201,14.036
1.7988,0.833575,0.001536992,5.871
1.3316,0.0248876,0.001162793,4.717
0.6408,0.0983175,0.003400497,10.799
0.7201,0.121904,0.004096497,12.591
1.4391,0.507284,0.002510399,11.627
1.671,0.305289,0.001084838,5.548
1.4468,1.46039,0.006993893,14.483
1.6306,2.28725,0.006628173,13.756
1.5782,1.30568,0.004921036,14.828
1.6,0.422299,0.001219214,6.368
0.9244,0.0162206,0.001929253,6.589
0.7216,0.0133836,0.002585339,10.389
1.1103,0.0345843,0.000729873,7.9
1.216,0.316769,0.002007055,10.876
1.6377,0.0954949,0.001187493,6.952
1.7484,0.591849,0.004681214,12.905
1.2982,4.00516,0.010902513,17.26
1.1773,2.97035,0.009531499,16.949
1.4644,2.11379,0.005333338,14.622
0.9808,0.931224,0.002974322,9.327
0.6716,0.292281,0.004168624,9.675
0.6545,5.86972,0.019595859,11.594
0.7716,4.12438,0.011224868,8.923
1.0388,1.40972,0.004552208,6.927
0.8812,7.78772,0.015362363,8.763
0.8964,7.73528,0.003562568,9.356
0.9554,2.53512,0.00479421,6.241
0.9958,0.680602,0.002679994,5.836
1.0738,0.429808,0.001610805,5.395
1.3302,0.178735,0.001130186,4.847
1.1517,0.601107,0.001924206,6.089
0.9158,4.32164,0.010267863,11.026
1.3466,3.97109,0.011709748,7.078
1.1071,3.58015,0.005929818,7.778
1.1964,2.34826,0.002203182,6.098
1.1103,0.209127,0.002412232,8.093
1.2316,0.630887,0.001830488,5.035
0.9325,0.0445054,0.001785529,5.386
1.4627,0.18424,0.001179659,4.649
1.3674,1.04227,0.002456796,8.694
1.1786,1.68869,0.006606707,7.61
1.5496,2.84868,0.006565156,7.529
1.4147,4.08916,0.007691236,7.006
1.3396,4.52713,0.008159907,7.934
1.182,1.41249,0.003460183,6.393
1.056,2.63275,0.005210371,7.588
0.7923,1.07555,0.004798317,7.469
1.0566,0.657259,0.002239927,6.915
1.3719,0.433031,0.000894021,5.128
1.4418,0.476882,0.00217477,7.306
0.8041,9.54292,0.042938527,10.839
0.7831,7.8415,0.033716133,8.388
1.0108,4.11632,0.013429614,7.854
0.9433,2.8993,0.008016393,6.357
1.031,0.538811,0.003561212,7.159
1.0057,4.81504,0.018451661,11.872
0.9959,11.5219,0.031017665,10.466
0.9485,8.39221,0.020657908,8.337
1.0173,2.88521,0.008709959,6.961
0.6282,6.20457,0.026912415,12.17
0.8258,5.90523,0.014195424,7.455
0.9393,2.86531,0.006143234,5.965
0.8071,2.10956,0.004129792,5.597
1.0801,1.45647,0.001610467,5.287
1.4805,0.305267,0.000878986,5.202
1.4145,0.615701,0.002435686,5.889
1.1299,4.6758,0.012992333,10.154
0.2485,0.652979,0.015397789,21.151
0.0546,0.0154606,0.010536965,22.434
0.0927,0.00358572,0.012471184,21.488
0.2569,0.277435,0.009784911,26.797
0.5827,9.33378,0.024059018,22.594
0.7987,9.04823,0.021519404,20.482
0.5564,8.27811,0.025676323,20.34
0.4252,4.98141,0.021284838,20.959
0.1838,1.05902,0.016782092,23.627
0.1098,0.132806,0.005279949,23.213
0.3829,0.284012,0.00130599,25.862
0.68,3.6661,0.002277363,25.957
0.7426,8.48093,0.017093185,21.521
0.7695,8.36175,0.017630262,17.494
0.7146,7.06847,0.016645808,14.882
0.5137,4.53106,0.013590192,13.571
0.3027,1.18138,0.006988392,19.807
0.0938,1.67195,0.006652286,21.368
0.1114,0.275738,0.010680867,21.966
0.3274,1.02353,0.009164846,27.876
0.419,2.15793,0.012871428,24.158
0.6271,9.02188,0.015693721,22.352
0.6125,9.69293,0.020202706,19.926
0.4787,8.02436,0.021913171,18.135
0.5544,6.19657,0.0185625,14.944
0.2733,1.46934,0.010789655,17.879
0.1773,0.511555,0.00802878,21.379
0.1008,0.0161961,0.008497295,21.662
0.188,0.00739284,0.006687726,22.059
0.4996,1.17983,0.008750008,25.561
0.4654,3.09853,0.014608987,22.449
0.7636,10.1704,0.021061286,21.913
0.8493,10.6063,0.021837449,19.886
0.6549,7.78765,0.021034508,18.176
0.6079,6.05349,0.019108879,16.064
0.2685,2.05339,0.015196699,22.233
0.063,0.126297,0.007242934,23.202
0.1618,0.161963,0.006610371,23.625
0.5279,1.17038,0.007425041,26.691
0.5046,3.36399,0.01221745,24.324
0.8307,8.91662,0.016219964,22.114
1.0089,9.12953,0.015286621,19.445
0.6725,7.16505,0.017932887,21.362
0.3868,4.01387,0.016753926,21.42
0.258,0.98142,0.010408097,22.64
0.1263,0.30492,0.007638619,23.011
0.0637,0.0595582,0.016085639,23.224
0.2222,0.423515,0.00995196,24.25
0.465,2.40782,0.008302921,26.095
0.8557,14.7835,0.02081454,20.806
0.8385,20.9947,0.020239925,15.561
0.7825,17.9715,0.017940153,10.22
0.5101,14.0618,0.036705579,12.183
0.3089,10.0516,0.069160759,21.414
0.7154,7.41392,0.005870462,30.38
0.9388,7.59453,0.004798499,26.208
0.728,10.2562,0.00488834,20.395
0.2258,1.82945,0.003704128,27.477
0.1345,0.85318,0.003077891,28.093
0.065,0.378935,0.003390526,26.959
0.076,0.864595,0.004766087,26.575
0.5881,3.65501,0.005366081,30.19
0.5429,10.0005,0.006348278,30.198
0.6604,11.527,0.006698741,27.247
0.6259,11.4721,0.006277729,25.015
0.2598,1.977,0.006466109,33.394
0.0905,0.444069,0.00893723,34.697
0.0412,1.10986,0.003931367,30.411
0.0416,0.293863,0.007524199,26.924
0.0672,0.303029,0.005404847,22.808
0.2619,0.581248,0.004936674,36.318
0.6382,3.0619,0.004541645,35.737
0.6026,12.7593,0.006448489,28.247
0.3958,5.85054,0.00542859,30.768
0.2405,1.59916,0.004212379,32.813
0.0999,0.435659,0.00644164,33.905
0.063,0.589191,0.004274893,33.327
1.6154,0.0403965,0.001943082,5.016
1.5065,0.770756,0.003307698,5.085
2.6436,0.786737,0.001146555,2.028
3.2712,0.214585,0.000881816,1.96
2.4029,0.854224,0.003454124,5.503
2.1394,2.77071,0.005939821,5.464
2.2566,0.933983,0.002111345,2.809
1.5941,0.566748,0.002283119,3.989
0.8644,0.625876,0.003265394,5.012
0.8375,0.33768,0.003333705,5.657
0.7703,0.250352,0.005035415,6.891
0.5726,0.165122,0.006605562,6.3
1.0542,0.246738,0.002477777,3.895
1.8017,0.0917611,0.000980191,2.605
2.3602,0.280582,0.001312095,2.573
3.1733,0.373188,0.001003686,2.191
2.8966,0.315729,0.002436193,4.451
1.5889,3.03239,0.010821165,7.902
2.3216,3.03702,0.004551489,2.67
1.6034,1.64503,0.003826169,3.907
1.4875,0.800233,0.00165848,2.787
1.0699,0.243199,0.001112695,2.974
1.1433,0.155358,0.000656937,2.859
3.2273,0.00759005,0.001079025,2.029
2.3407,0.37739,0.003825366,5.02
1.4954,2.86159,0.009024588,4.994
1.5121,3.21027,0.009416237,6.381
1.5419,0.934036,0.003164214,2.981
1.4232,0.459602,0.001178437,2.603
0.8232,0.132426,0.001465399,3.618
0.626,0.0202151,0.004843437,6.845
1.7236,0.364382,0.002116243,3.327
2.5077,0.617809,0.001144441,1.941
3.3601,0.0703282,0.00067397,1.529
2.184,1.13443,0.005133914,5.847
1.7086,3.55508,0.009432906,6.093
1.9582,1.62253,0.004004986,3.853
1.8368,1.20288,0.002466228,3.672
1.4651,0.457393,0.001042535,2.762
0.6408,0.268785,0.005790584,8.255
0.7392,0.119088,0.003065502,4.984
0.9942,0.0501445,0.003684056,6.48
1.4263,0.263289,0.0020147,3.986
1.9933,0.303864,0.00088401,2.475
2.1479,0.501116,0.001480523,2.572
3.3031,0.25651,0.001171605,2.725
1.594,3.95183,0.011912029,8.219
1.5176,4.29495,0.010725872,5.846
1.9056,2.71921,0.007032501,5.303
1.9673,0.467222,0.001400416,2.646
1.3083,0.0634782,0.001256686,3.405
0.825,0.0451714,0.003704511,6.606
1.2102,0.115288,0.002962352,6.751
1.4883,0.202225,0.001453358,3.555
1.7751,0.361056,0.001265566,2.789
2.5158,0.432729,0.001602194,3.35
2.6214,0.27939,0.001009901,2.235
2.3386,1.83459,0.005569577,6.448
2.6658,0.393005,0.002542665,3.965
2.2253,0.397666,0.002097345,4.007
1.6554,0.170624,0.000874913,2.524
1.4859,0.175908,0.000538085,2.755
0.7138,0.0817213,0.002382335,4.549
0.6717,0.00639432,0.00651058,8.91
1.1168,0.897188,0.004854683,6.748
1.4633,1.08364,0.002896829,3.829
2.2457,1.21331,0.001868197,2.752
3.2366,0.455097,0.000901176,1.763
2.1744,0.868758,0.003873671,5.483
1.8424,4.18559,0.008782882,6.109
1.49,0.935219,0.004039877,5.001
1.2223,0.334875,0.001078363,3.121
2.2598,0.148075,0.000684656,2.137
2.1288,1.93384,0.006018287,6.799
2.0384,3.2036,0.00644032,5.147
2.0465,2.14575,0.006217462,5.838
1.8893,1.19878,0.00273726,2.992
0.9997,0.629485,0.004642902,6.657
